"RD_cm","F=5","F=8","F=10","F=15","F=20"
2,0.33,0.21,0.16,0.11,0.08
3,0.74,0.46,0.37,0.25,0.19
4,1.32,0.82,0.66,0.44,0.33
5,2.06,1.29,1.03,0.69,0.51
6,2.96,1.85,1.48,0.99,0.74
7,4.03,2.52,2.02,1.34,1.01
8,5.26,3.29,2.63,1.75,1.32
10,8.22,5.14,4.11,2.74,2.06
12,11.84,7.4,5.92,3.95,2.96
14,16.12,10.08,8.06,5.37,4.03
16,21.06,13.16,10.53,7.02,5.26
20,32.9,20.56,16.45,10.97,8.22
25,51.4,32.13,25.7,17.13,12.85
30,74.02,46.26,37.01,24.67,18.51
35,100.75,62.97,50.38,33.58,25.19
40,131.59,82.25,65.8,43.86,32.9
50,205.62,128.51,102.81,68.54,51.4
60,296.09,185.06,148.04,98.7,74.02
70,403.01,251.88,201.5,134.34,100.75
80,526.38,328.99,263.19,175.46,131.59
90,666.2,416.37,333.1,222.07,166.55
100,822.47,514.04,411.23,274.16,205.62
110,995.19,621.99,497.59,331.73,248.8
120,1184.35,740.22,592.18,394.78,296.09
130,1389.97,868.73,694.98,463.32,347.49
140,1612.04,1007.52,806.02,537.35,403.01
150,1850.55,1156.59,925.28,616.85,462.64
160,2105.52,1315.95,1052.76,701.84,526.38
170,2376.93,1485.58,1188.46,792.31,594.23
180,2664.79,1665.5,1332.4,888.26,666.2
190,2969.11,1855.69,1484.55,989.7,742.28
200,3289.87,2056.17,1644.93,1096.62,822.47
