Common Name,Scientific Name,Rank,
common crupina ,Crupina vulgaris ,A,
"cordgrass, common ",Spartina anglica ,A,
"cordgrass, dense-flowered ",Spartina densiflora ,A,
"cordgrass, saltmeadow ",Spartina patens ,A,
"cordgrass, smooth ",Spartina alterniflora ,A,
dyer’s woad ,Isatis tinctoria ,A,
eggleaf spurge ,Euphorbia oblongata ,A,
false brome ,Brachypodium sylvaticum ,A,
floating primrose-willow ,Ludwigia peploides ,A,
flowering rush ,Butomus umbellatus ,A,
French broom ,Genista monspessulana ,A,
garlic mustard ,Alliaria petiolata ,A,
giant hogweed ,Heracleum mantegazzianum ,A,
goatsrue ,Galega officinalis ,A,
hydrilla ,Hydrilla verticillata ,A,
Johnsongrass ,Sorghum halepense ,A,
"knapweed, bighead ",Centaurea macrocephala ,A,
"knapweed, Vochin ",Centaurea nigrescens ,A,
kudzu ,Pueraria montana var. ,A,
,lobata ,A,
meadow clary ,Salvia pratensis ,A,
oriental clematis ,Clematis orientalis ,A,
purple starthistle ,Centaurea calcitrapa ,A,
reed sweetgrass ,Glyceria maxima ,A,
ricefield bulrush ,Schoenoplectus mucronatus ,A,
"sage, clary ",Salvia sclarea ,A,
"sage, Mediterranean ",Salvia aethiopis ,A,
silverleaf nightshade ,Solanum elaeagnifolium ,A,
small-flowered jewelweed ,Impatiens parviflora ,A,
South American spongeplant ,Limnobium laevigatum ,A,
Spanish broom ,Spartium junceum ,A,
Syrian beancaper ,Zygophyllum fabago ,A,
Texas blueweed ,Helianthus ciliaris ,A,
"thistle, Italian ",Carduus pycnocephalus ,A,
"thistle, milk ",Silybum marianum ,A,
"thistle, slenderflower ",Carduus tenuiflorus ,A,
variable-leaf milfoil ,Myriophyllum heterophyllum ,A,
wild four-o'clock ,Mirabilis nyctaginea ,A,
Brazilian elodea ,Egeria densa ,B,
"bugloss, annual ",Anchusa arvensis ,B,
"bugloss, common ",Anchusa officinalis ,B,
butterfly bush ,Buddleja davidii ,B,
camelthorn ,Alhagi maurorum ,B,
"common fennel, (except bulbing fennel) ",Foeniculum vulgare except F. vulgare var. azoricum) ,B,
common reed (nonnative genotypes only) ,Phragmites australis ,B,
Dalmatian toadflax ,Linaria dalmatica ssp. ,B,
,dalmatica ,B,
Eurasian watermilfoil ,Myriophyllum spicatum ,B,
European coltsfoot ,Tussilago farfara ,B,
fanwort ,Cabomba caroliniana ,B,
gorse ,Ulex europaeus ,B,
grass-leaved arrowhead ,Sagittaria graminea ,B,
hairy willowherb ,Epilobium hirsutum ,B,
hawkweed oxtongue ,Picris hieracioides ,B,
"hawkweed, orange ",Hieracium aurantiacum ,B,
hawkweeds: All nonnative ,"Hieracium, subgenus ",B,
species and hybrids of the meadow subgenus  ,Pilosella   ,B,
hawkweeds: All nonnative species and hybrids of the ,"Hieracium, subgenus Hieracium ",B,
wall subgenus ,,B,
herb-Robert ,Geranium robertianum ,B,
hoary alyssum ,Berteroa incana ,B,
houndstongue ,Cynoglossum officinale ,B,
indigobush ,Amorpha fruticosa ,B,
"knapweed, black ",Centaurea nigra ,B,
"knapweed, brown ",Centaurea jacea ,B,
"knapweed, diffuse ",Centaurea diffusa ,B,
"knapweed, meadow ",Centaurea x moncktonii ,B,
"knapweed, Russian ",Rhaponticum repens ,B,
"knapweed, spotted ",Centaurea stoebe ,B,
"knotweed, Bohemian ",Polygonum x bohemicum ,B,
"knotweed, giant ",Polygonum sachalinense ,B,
"knotweed, Himalayan ",Persicaria wallichii ,B,
"knotweed, Japanese ",Polygonum cuspidatum ,B,
kochia ,Bassia scoparia ,B,
lesser celandine ,Ficaria verna ,B,
"loosestrife, garden ",Lysimachia vulgaris ,B,
"loosestrife, purple ",Lythrum salicaria ,B,
"loosestrife, wand ",Lythrum virgatum ,B,
Malta starthistle ,Centaurea melitensis ,B,
parrotfeather ,Myriophyllum aquaticum ,B,
perennial pepperweed ,Lepidium latifolium ,B,
poison hemlock ,Conium maculatum ,B,
policeman’s helmet ,Impatiens glandulifera ,B,
puncturevine ,Tribulus terrestris ,B,
Ravenna grass ,Saccharum ravennae ,B,
rush skeletonweed ,Chondrilla juncea ,B,
saltcedar ,Tamarix ramosissima ,B,
Scotch broom ,Cytisus scoparius ,B,
shiny geranium ,Geranium lucidum ,B,
spurge flax ,Thymelaea passerina ,B,
spurge laurel  ,Daphne laureola ,B,
"spurge, leafy ",Euphorbia virgata ,B,
"spurge, myrtle ",Euphorbia myrsinites ,B,
sulfur cinquefoil ,Potentilla recta ,B,
tansy ragwort ,Jacobaea vulgaris ,B,
"thistle, musk ",Carduus nutans ,B,
"thistle, plumeless ",Carduus acanthoides ,B,
"thistle, Scotch ",Onopordum acanthium ,B,
velvetleaf ,Abutilon theophrasti ,B,
water primrose ,Ludwigia hexapetala ,B,
white bryony ,Bryonia alba ,B,
wild chervil   ,Anthriscus sylvestris ,B,
yellow archangel ,Lamiastrum galeobdolon ,B,
yellow floatingheart ,Nymphoides peltata ,B,
yellow nutsedge ,Cyperus esculentus ,B,
yellow starthistle ,Centaurea solstitialis ,B,
absinth wormwood ,Artemisia absinthium ,C,
Austrian fieldcress ,Rorippa austriaca ,C,
babysbreath ,Gypsophila paniculata ,C,
black henbane ,Hyoscyamus niger ,C,
blackgrass ,Alopecurus myosuroides ,C,
buffalobur ,Solanum rostratum ,C,
cereal rye ,Secale cereale ,C,
common barberry ,Berberis vulgaris ,C,
common catsear ,Hypochaeris radicata ,C,
common groundsel ,Senecio vulgaris ,C,
common St. Johnswort ,Hypericum perforatum ,C,
common tansy ,Tanacetum vulgare ,C,
common teasel ,Dipsacus fullonum ,C,
curlyleaf pondweed ,Potamogeton crispus ,C,
English hawthorn ,Crataegus monogyna ,C,
English ivy - four cultivars only ,"Hedera helix ‘Baltica’, ",C,
,"‘Pittsburgh’, and ‘Star’, and ",C,
,H. hibernica ‘Hibernica’ ,C,
Eurasian watermilfoil hybrid ,Myriophyllum spicatum x Myriophyllum sibiricum ,C,
evergreen blackberry  ,Rubus laciniatus ,C,
field bindweed ,Convolvulus arvensis ,C,
fragrant waterlily ,Nymphaea odorata ,C,
hairy whitetop ,Lepidium appelianum ,C,
Himalayan blackberry ,Rubus armeniacus ,C,
hoary cress ,Lepidium draba ,C,
Italian arum ,Arum italicum ,C,
Japanese eelgrass  ,Zostera japonica  ,C,
jubata grass ,Cortaderia jubata ,C,
jointed goatgrass ,Aegilops cylindrica ,C,
lawnweed ,Soliva sessilis ,C,
longspine sandbur ,Cenchrus longispinus ,C,
medusahead ,Taeniatherum caputmedusae ,C,
"nonnative cattail species and hybrids (reminder, does not include the native common cattail, ",Typha species ,C,
Typha latifolia) ,,C,
scentless mayweed ,Matricaria perforata ,C,
smoothseed alfalfa dodder ,Cuscuta approximata ,C,
spikeweed ,Centromadia pungens ,C,
spiny cocklebur ,Xanthium spinosum ,C,
spotted jewelweed ,Impatiens capensis ,C,
Swainsonpea ,Sphaerophysa salsula ,C,
"thistle, bull ",Cirsium vulgare ,C,
"thistle, Canada ",Cirsium arvense ,C,
tree-of-heaven ,Ailanthus altissima ,C,
ventenata ,Ventenata dubia ,C,
white cockle ,Silene latifolia ssp. alba ,C,
wild carrot (except where commercially grown) ,Daucus carota ,C,
yellow flag iris ,Iris pseudacorus ,C,
yellow toadflax ,Linaria vulgaris ,C,
